id,reg_number,first_name,last_name,birth_place,birth_date,phone_number,gender,bank,bank_account,religion,id_number,job_title,division,mother_name,blood_type,date_of_hire,marital_status,is_active
50,15.10.2212,NOVIANDONO,DWI PRASETYO,Bangkalan,1978-08-30,,L,2,5020164377116,ISLAM,,1,1,,,2014-02-06,TK,1
51,15.10.2214,MAHYUDI,,Sumenep,1976-09-02,,L,,,ISLAM,,2,2,,,2014-02-06,TK,1
52,15.10.2215,EDI,SOSIAWAN,Tulungagung,1973-10-06,,L,2,5020164045117,ISLAM,,1,1,,,2014-02-06,TK,1
53,15.10.2216,SUPRIYONO,,Jombang,1975-11-10,,L,2,760985304100,ISLAM,,2,2,,,2014-02-06,TK,1
54,15.10.2217,ADI,PRIYANTO,Gresik,1977-12-14,,L,2,5020164044111,ISLAM,,1,1,,,2014-02-06,TK,1
55,15.10.2218,ADE,NOBI BAKTIAR,Lamongan,1978-01-01,,L,2,5020164075112,ISLAM,,1,1,,,2014-02-06,TK,1
56,15.10.2219,TONI,SAPUTRA,Mojokerto,1988-02-06,,L,2,2990102085165,ISLAM,,2,2,,,2014-02-06,TK,1
58,15.10.2221,ARDI,SOLEHUDIN,Jember,1988-02-06,,L,2,1390101589169,ISLAM,,2,2,,,2014-02-06,TK,1
59,15.10.2222,ELSA,NAWANG KHOIRI,Malang,1983-03-10,,L,2,8170100238166,ISLAM,,2,2,,,2014-02-06,TK,1
60,15.10.2223,JOHAR,RAHMADI,Banyuwangi,1981-04-14,,L,2,2990102084169,ISLAM,,2,2,,,2014-02-06,TK,1
61,15.10.2224,JUANDA,SAPUTRA,Sidoarjo,1978-05-18,,L,2,8170100240163,ISLAM,,2,2,,,2014-02-06,TK,1
62,15.10.2225,CHANDRA,,Semarang,1973-06-22,,L,2,089627135576,ISLAM,,1,1,,,2014-02-06,TK,1
42,15.10.2226,MA'MUN,,Mojokerto,1988-02-06,,L,,,ISLAM,,2,2,,,2014-02-06,TK,1
43,15.10.2227,SAMALI,,Surabaya,1978-01-01,,L,2,5020163809110,ISLAM,,2,2,,,2014-02-06,TK,1
63,15.10.2232,SYARIF,HIADAYATULLAH,Yogyakarta,1983-07-26,,L,,,ISLAM,,2,2,,,2014-02-06,TK,1
64,15.10.2233,AGUS,SUKMANA,Bangkalan,1978-08-30,,L,2,5020164036118,ISLAM,,2,2,,,2014-02-06,TK,1
65,15.10.2234,ARIF,,Sumenep,1976-09-02,,L,2,5020164052114,ISLAM,,2,2,,,2014-02-06,TK,1
75,15.10.2235,DWI ,ARISMANTO,Sidoarjo,1978-05-18,,L,2,0190103407168,ISLAM,,1,1,,,2014-02-06,TK,1
74,15.10.2236,IRWAN ,BUDI SANTOSO,Banyuwangi,1981-04-14,,L,2,0190103375167,ISLAM,,1,1,,,2014-02-06,TK,1
116,15.10.2242,SLAMET,WIDODO,Banyuwangi,1981-04-14,,L,2,9770101936162,ISLAM,,1,1,,,2014-02-06,TK,1
108,15.10.2244,SUPRIYANTO,,Tulungagung,1973-10-06,,L,2,703124471400,ISLAM,,2,2,,,2014-02-06,TK,1
109,15.10.2245,RIYADI,SETIYONO,Jombang,1975-11-10,,L,2,3060101858169,ISLAM,,2,2,,,2014-02-06,TK,1
110,15.10.2246,KHOLIS,AL ANSORI,Gresik,1977-12-14,,L,2,0160101299166,ISLAM,,2,2,,,2014-02-06,TK,1
112,15.10.2248,NURHADI,,Mojokerto,1988-02-06,,L,2,9330101584163,ISLAM,,2,2,,,2014-02-06,TK,1
76,15.10.2249,ERIK,HENDRICK,Semarang,1973-06-22,,L,,,ISLAM,,1,1,,,2014-02-06,TK,1
79,15.10.2251,ALEXANDER,SAMBA KODI,Sumenep,1976-09-02,,L,,,ISLAM,,2,2,,,2014-02-06,TK,1
80,15.10.2252,SUWARNO,AH MUSTOFA,Tulungagung,1973-10-06,,L,,,ISLAM,,2,2,,,2014-02-06,TK,1
81,15.10.2253,SUKIYAT,,Jombang,1975-11-10,,L,2,8360101723167,ISLAM,,2,2,,,2014-02-06,TK,1
82,15.10.2254,NANANG,NUR MARDIANTO,Gresik,1977-12-14,,L,2,8360101771160,ISLAM,,2,2,,,2014-02-06,TK,1
66,15.10.2256,FAJAR,MUSTAQIM,Tulungagung,1973-10-06,,L,2,5020164037114,ISLAM,,2,2,,,2014-02-06,TK,1
86,15.10.2259,SELFRINUS,TANGGU,Jember,1988-02-06,,L,,,ISLAM,,2,2,,,2014-02-06,TK,1
87,15.10.2260,STEFANUS,BALDUS,Malang,1983-03-10,,L,,,ISLAM,,2,2,,,2014-02-06,TK,1
89,15.10.2262,YULIANSYAH,,Sidoarjo,1978-05-18,,L,2,0780100901162,ISLAM,,1,1,,,2014-02-06,TK,1
67,15.10.2264,HENDRA,SAPUTRA,Jombang,1975-11-10,,L,2,5020164054116,ISLAM,,1,1,,,2014-02-06,TK,1
92,15.10.2265,THOMAS,EDISON SURBAKTI,Bangkalan,1978-08-30,,L,2,2630100766161,ISLAM,,1,1,,,2014-02-06,TK,1
93,15.10.2266,RACHMAN,SYAHPUTRA,Sumenep,1976-09-02,,L,2,2630100768163,ISLAM,,1,1,,,2014-02-06,TK,1
94,15.10.2267,GUNAWAN,,Tulungagung,1973-10-06,,L,2,2630100767167,ISLAM,,2,2,,,2014-02-06,TK,1
95,15.10.2268,M,EFFENDI HARAHAP,Jombang,1975-11-10,,L,2,0270102758162,ISLAM,,2,2,,,2014-02-06,TK,1
96,15.10.2269,DANA,MYLANTHA TARIGAN,Gresik,1977-12-14,,L,2,0270102761165,ISLAM,,2,2,,,2014-02-06,TK,1
97,15.10.2270,SYAHRUM,NASUTION,Lamongan,1978-01-01,,L,2,0270102765169,ISLAM,,2,2,,,2014-02-06,TK,1
98,15.10.2271,CHANDRA,PRANATA,Mojokerto,1988-02-06,,L,2,0270102760169,ISLAM,,2,2,,,2014-02-06,TK,1
106,15.10.2275,RIDWAN,,Bangkalan,1978-08-30,,L,2,5020164053110,ISLAM,,2,2,,,2014-02-06,TK,1
107,15.10.2276,AFIF,PRAPAMY GHALIBUL HAKIM,Sumenep,1976-09-02,,L,,,ISLAM,,2,2,,,2014-02-06,TK,1
123,15.10.2277,HENDRO,DWI RAHMAWAN,Jombang,1975-11-10,,L,,,ISLAM,,2,2,,,2014-02-06,TK,1
124,15.11.2278,DIDIN,TAJUDIN,Gresik,1977-12-14,,L,2,5020164039116,ISLAM,,2,2,,,2014-02-06,TK,1
99,15.11.2296,MUHAMMAD,SYARIFUDDIN HASANUDDIN,Surabaya,1978-01-01,,L,2,703186443500,ISLAM,,2,2,,,2014-02-06,TK,1
100,15.11.2297,MUNAWAR,,Jember,1988-02-06,,L,,,ISLAM,,2,2,,,2014-02-06,TK,1
101,15.11.2298,RIJAL,TAUFIK,Malang,1983-03-10,,L,2,3690100395167,ISLAM,,2,2,,,2014-02-06,TK,1
103,15.11.2300,KUSTOYO,,Sidoarjo,1978-05-18,,L,2,8460100484162,ISLAM,,2,2,,,2014-02-06,TK,1
104,15.11.2301,MUHAMMAD,,Semarang,1973-06-22,,L,2,8450101084164,ISLAM,,1,1,,,2014-02-06,TK,1
105,15.11.2302,ABD.RAJAB,ZAKARIA,Yogyakarta,1983-07-26,,L,2,760940909400,ISLAM,,1,1,,,2014-02-06,TK,1
117,15.11.2304,MUARIFIN,,Sidoarjo,1978-05-18,,L,2,8730100407167,ISLAM,,1,1,,,2014-02-06,TK,1
118,15.11.2305,ARFANI,FAQIH KHAKIKI,Semarang,1973-06-22,,L,2,8730100405165,ISLAM,,1,1,,,2014-02-06,TK,1
113,15.11.2307,JOKO,PRAYITNO,Surabaya,1978-01-01,,L,2,703154790600,ISLAM,,2,2,,,2014-02-06,TK,1
114,15.11.2308,AYEN,ARDIANTO,Jember,1988-02-06,,L,,,ISLAM,,2,2,,,2014-02-06,TK,1
78,15.11.2313,FAISAL,ABU BAKAR ,Bangkalan,1978-08-30,,L,2,8360101731160,ISLAM,,1,1,,,2014-02-06,TK,1
91,15.11.2315,INDRA,SUSANTO,Yogyakarta,1983-07-26,,L,2,2820100953169,ISLAM,,1,1,,,2014-02-06,TK,1
125,15.11.2317,SYAHBANI,,Lamongan,1978-01-01,,L,2,761010839900,ISLAM,,2,2,,,2014-02-06,TK,1
102,15.12.2353,AWALUDIN,NUR,Banyuwangi,1981-04-14,,L,,,ISLAM,,2,2,,,2014-02-06,TK,1
115,16.01.2374,DENY,SETYAWAN,Malang,1983-03-10,,L,,,ISLAM,,2,2,,,2014-02-06,TK,1
84,16.01.2376,SIPRIANUS,JERATU,Mojokerto,1988-02-06,,L,,,ISLAM,,2,2,,,2014-02-06,TK,1
85,16.01.2377,ALBERTUS,JEHAMUN,Surabaya,1978-01-01,,L,,,ISLAM,,2,2,,,2014-02-06,TK,1
88,16.01.2379,ALOISIUS,AGUT,Banyuwangi,1981-04-14,,L,,,ISLAM,,2,2,,,2014-02-06,TK,1
90,16.01.2380,MAHRIL,,Semarang,1973-06-22,,L,,,ISLAM,,1,1,,,2014-02-06,TK,1
36,16.02.0000,ARIEF,NUR SETYAWAN,Bangkalan,1978-08-30,,L,2,703230900500,ISLAM,,2,2,,,2014-02-06,TK,1
121,16.02.2399,ARISMAN,SUSANTO,Sumenep,1976-09-02,,L,,,ISLAM,,2,2,,,2014-02-06,TK,1
128,16.02.2400,AHMAD,SARI,Jember,1988-02-06,,L,2,760987095300,ISLAM,,2,2,,,2014-02-06,TK,1
122,16.02.2401,BACHRUDIN,YUSUF,Tulungagung,1973-10-06,,L,2,6410102699160,ISLAM,,1,1,,,2014-02-06,TK,1
120,16.02.2402,IRVANDI,SUGONDO,Bangkalan,1978-08-30,,L,2,760986990300,ISLAM,,2,2,,,2014-02-06,TK,1
127,16.02.2428,ALDI,HERMAWAN,Surabaya,1978-01-01,,L,,,ISLAM,,2,2,,,2014-02-06,TK,1
6,16.03.2424,ADI.SETIAWAN,,Semarang,1973-06-22,,L,,,ISLAM,,2,2,,,2014-01-08,TK,1
12,16.03.2425,SARIPUDIN,,Gresik,1977-12-14,,L,2,760987166700,ISLAM,,2,2,,,2014-01-15,TK,1
133,16.03.2451,SAHID,S.,Yogyakarta,1983-07-26,,L,,,ISLAM,,2,2,,,2014-02-06,TK,1
132,16.03.2452,HAIRULANSAH,,Semarang,1973-06-22,,L,,,ISLAM,,2,2,,,2014-02-06,TK,1
130,16.03.2453,NUROHMAN,,Banyuwangi,1981-04-14,,L,,,ISLAM,,2,2,,,2014-02-06,TK,1
136,16.03.2454,KOMARUDIN,,Tulungagung,1973-10-06,,L,2,760985285600,ISLAM,,2,2,,,2014-02-06,TK,1
139,16.03.2455,SURYADIN,,Lamongan,1978-01-01,,L,,,ISLAM,,2,2,,,2014-02-06,TK,1
48,16.04.2444,DIKI,PRASTIYO,Semarang,1973-06-22,,L,,,ISLAM,,1,1,,,2014-02-06,TK,1
138,16.04.2449,TRIO,DANNIEL YOS SUDARSO,Gresik,1977-12-14,,L,,,ISLAM,,2,2,,,2014-02-06,TK,1
137,16.04.2458,LAURENSIUS,WAJAH LEBU,Jombang,1975-11-10,,L,,,ISLAM,,2,2,,,2014-02-06,TK,1
140,16.04.2459,COSMAS,DAMIANUS BENU,Mojokerto,1988-02-06,,L,2,760985561900,ISLAM,,2,2,,,2014-02-06,TK,1
141,16.04.2482,ARIF,SUHENDRA,Surabaya,1978-01-01,,L,,,ISLAM,,2,2,,,2014-02-06,TK,1
143,16.04.2483,DENI,ADI MARTADI,Malang,1983-03-10,,L,2,761015903400,ISLAM,,2,2,,,2014-02-06,TK,1
144,16.05.2489,EDUARDUS,VINSENSIUS,Banyuwangi,1981-04-14,,L,,,ISLAM,,2,2,,,2014-02-06,TK,1
14,16.05.2490,YUYUT,SETIAWAN,Mojokerto,1988-02-06,,L,,,ISLAM,,2,2,,,2014-02-06,TK,1
146,16.05.2491,POLTAK,SIMANJUNTAK,Semarang,1973-06-22,,L,,,ISLAM,,2,2,,,2014-02-06,TK,1
147,16.05.2492,MATROZI,,Yogyakarta,1983-07-26,,L,,,ISLAM,,2,2,,,2014-02-06,TK,1
155,16.05.2493,MUKTI,RAHAYU,Surabaya,1978-01-01,,L,,,ISLAM,,2,2,,,2014-02-07,TK,1
145,16.05.2494,IBRAHIM,,Sidoarjo,1978-05-18,,L,2,760985345300,ISLAM,,2,2,,,2014-01-14,TK,1
148,16.05.2506,M.ARIEF,LUTFI,Bangkalan,1978-08-30,,L,2,761015868700,ISLAM,,1,1,,,2014-02-06,TK,1
57,16.05.2507,ARINATA,MANGGALA,Surabaya,1978-01-01,,L,,,ISLAM,,1,1,,,2014-02-06,TK,1
4,16.05.2508,KURNIAWAN,,Banyuwangi,1981-04-14,,L,,,ISLAM,,1,1,,,2014-02-06,TK,1
142,16.05.2509,M.UJANG,NASIR AFENDI,Jember,1988-02-06,,L,,,ISLAM,,2,2,,,2014-02-06,TK,1
9,16.05.2510,ANDRI,SETIAWAN,Sumenep,1976-09-02,,L,2,761084054200,ISLAM,,1,1,,,2014-02-06,TK,1
3,16.05.2511,ZANWAR,IRHAM,Malang,1983-03-10,,L,,,ISLAM,,1,1,,,2014-02-06,TK,1
15,16.05.2515,ALIM,MUSLIM,Surabaya,1978-01-01,,L,2,5020153033119,ISLAM,,1,1,,,2014-02-06,TK,1
111,16.06.2540,AHMAD,ALI AHMADI,Lamongan,1978-01-01,,L,,,ISLAM,,2,2,,,2014-02-06,TK,1
83,16.07.2541,DEDI,HIDAYAT,Lamongan,1978-01-01,,L,,,ISLAM,,2,2,,,2014-02-06,TK,1
149,16.07.2542,ANDRI,S.J.DUMPAKU,Sumenep,1976-09-02,,L,,,ISLAM,,4,2,,,2014-02-06,TK,1
150,16.07.2543,JEFTA.M.LANDENG,,Tulungagung,1973-10-06,,L,,,ISLAM,,4,2,,,2014-02-06,TK,1
151,16.07.2544,TOMY,MANAIDA,Jombang,1975-11-10,,L,,,ISLAM,,4,2,,,2014-02-06,TK,1
153,16.07.2545,NURUS,SALAM,Lamongan,1978-01-01,,L,,,ISLAM,,1,1,,,2014-02-18,,1
154,16.07.2546,M,REZA HAMBALI,Mojokerto,1988-02-06,,L,,,ISLAM,,1,1,,,2014-02-06,TK,1
134,16.07.2548,IRPAN,MARSITA,Bangkalan,1978-08-30,,L,,,ISLAM,,1,1,,,2014-02-06,TK,1
135,16.07.2549,PUJA,KESUMA,Sumenep,1976-09-02,,L,2,760988858800,ISLAM,,1,1,,,2014-02-06,TK,1
129,16.07.2553,TAUFIK,FATONI,Malang,1983-03-10,,L,,,ISLAM,,1,1,,,2014-02-06,TK,1
126,16.07.2554,AZIZ,SAPUTRA,Mojokerto,1988-02-06,,L,2,703489812700,ISLAM,,1,1,,,2014-02-06,TK,1
131,16.07.2555,ARDI,SAEPULOH,Sidoarjo,1978-05-18,,L,,,ISLAM,,1,1,,,2014-02-06,TK,1
119,16.07.2556,SAEROZI,,Yogyakarta,1983-07-26,,L,2,703421174200,ISLAM,,1,1,,,2014-02-06,TK,1
164,16.08.2565,AHMAD,FADLAN,Tulungagung,1973-10-06,,L,,,ISLAM,,1,1,,,2014-02-16,TK,1
160,16.08.2568,SANSAN,NUGRAHA,Semarang,1973-06-22,,L,,,ISLAM,,1,1,,,2014-02-12,TK,1
161,16.08.2569,ADITYA,PRAYUDI,Yogyakarta,1983-07-26,,L,,,ISLAM,,1,1,,,2014-02-13,TK,1
162,16.08.2570,HENHEN,HENDRA,Bangkalan,1978-08-30,,L,,,ISLAM,,2,2,,,2014-02-14,TK,1
163,16.08.2571,IYAN,SOPIAN,Sumenep,1976-09-02,,L,,,ISLAM,,2,2,,,2014-02-15,TK,1
152,16.08.2572,MOCH.SETIAWAN,,Gresik,1977-12-14,,L,2,703464490800,ISLAM,,2,2,,,2014-02-17,,1
77,16.08.2573,YUNIAR,EKA SAPUTRA,Yogyakarta,1983-07-26,,L,2,703483494500,ISLAM,,2,2,,,2014-02-18,,1
70,16.08.2574,BAGUS,EKA NOVRIANTO,Mojokerto,1988-02-06,,L,2,703464847500,ISLAM,,1,1,,,2014-02-19,,1
71,16.08.2575,ADE,AGUS SUNARKO,Surabaya,1978-01-01,,L,2,703483558000,ISLAM,,1,1,,,2014-02-20,,1
72,16.08.2576,JUNIUS,ZALUKHU,Jember,1988-02-06,,L,,,ISLAM,,2,2,,,2014-02-21,,1
73,16.08.2577,LEXMON,AYAL,Malang,1983-03-10,,L,,,ISLAM,,2,2,,,2014-02-22,,1
165,16.08.2578,ABDULLAH,,Jombang,1975-11-10,,L,,,ISLAM,,1,1,,,2014-02-23,TK,1
69,16.08.2579,SUMARLI,,Lamongan,1978-01-01,,L,,,ISLAM,,1,1,,,2014-02-24,,1
158,16.08.2582,FEBRIAN,PRASETIA AKBAR,Banyuwangi,1981-04-14,,L,,,ISLAM,,1,1,,,2014-02-10,TK,1
159,16.08.2585,A.RAHWAN,,Sidoarjo,1978-05-18,,L,,,ISLAM,,1,1,,,2014-02-11,TK,1
